Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28132594,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132595,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132596,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2020,3.3,0.0326,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132597,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2019,7.2,0.07166,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132598,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2018,7.6,0.07627,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132599,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2017,5.3,0.05278,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132600,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2016,2.7,0.02708,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132601,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2015,4.5,0.04457,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132602,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2014,3.4,0.03436,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132603,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132604,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132605,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132606,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132607,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2020,15.4,0.15402,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132608,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2019,24,0.24031,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132609,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2018,33.2,0.33181,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132610,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2017,8.4,0.08401,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132611,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2016,9,0.09027,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132612,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2015,7.2,0.07217,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132613,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2014,9.1,0.09132,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132614,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2013,6.1,0.06145,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132615,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2012,3,0.0301,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132616,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132617,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2010,1,0.01019,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132618,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2020,40.1,0.40053,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132619,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2019,47.8,0.47849,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132620,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2018,46.6,0.46578,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132621,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2017,43.6,0.43558,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132622,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2016,37.9,0.37939,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132623,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2015,42.6,0.4262,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132624,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2014,26,0.26034,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132625,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2013,40.1,0.40091,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132626,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2012,45.5,0.45508,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132627,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132628,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132629,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2020,72.8,0.72783,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132630,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2019,73.3,0.73324,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132631,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2018,68.5,0.68464,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132632,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2017,29.5,0.29491,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132633,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2016,0,0,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132634,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2015,0,0,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132635,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2014,0,0,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132636,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132637,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132638,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132639,MALARIA_IPTP3_COVERAGE,COUNTRY,GIN,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132640,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2020,33.2,0.33209,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132641,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2019,46.6,0.46623,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132642,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2018,46.5,0.46519,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132643,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2017,21.3,0.21329,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132644,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2016,6.5,0.06492,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132645,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2015,0,0,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132646,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2014,0,0,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132647,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132648,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132649,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132650,MALARIA_IPTP3_COVERAGE,COUNTRY,GMB,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132651,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2020,33.8,0.33822,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132652,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2019,39.8,0.3979,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132653,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2018,29.1,0.29085,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132654,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2017,17.5,0.17486,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132655,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2016,6.4,0.06405,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132656,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2015,0,0,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132657,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2014,0,0,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132658,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132659,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132660,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132661,MALARIA_IPTP3_COVERAGE,COUNTRY,GNB,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132662,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2020,3.6,0.03591,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132663,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2019,4.2,0.04224,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132664,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2018,3.9,0.03903,2022-03-02T14:06:59Z,2018,01-01-18,31-12-18
28132665,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2017,3.2,0.03167,2022-03-02T14:06:59Z,2017,01-01-17,31-12-17
28132666,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2016,3.5,0.03488,2022-03-02T14:06:59Z,2016,01-01-16,31-12-16
28132667,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2015,2.7,0.02692,2022-03-02T14:06:59Z,2015,01-01-15,31-12-15
28132668,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2014,2.3,0.02268,2022-03-02T14:06:59Z,2014,01-01-14,31-12-14
28132669,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2013,1.7,0.01727,2022-03-02T14:06:59Z,2013,01-01-13,31-12-13
28132670,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2012,0,0,2022-03-02T14:06:59Z,2012,01-01-12,31-12-12
28132671,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2011,0,0,2022-03-02T14:06:59Z,2011,01-01-11,31-12-11
28132672,MALARIA_IPTP3_COVERAGE,COUNTRY,GNQ,YEAR,2010,0,0,2022-03-02T14:06:59Z,2010,01-01-10,31-12-10
28132673,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2020,26.5,0.26509,2022-03-02T14:06:59Z,2020,01-01-20,31-12-20
28132674,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2019,28.6,0.28645,2022-03-02T14:06:59Z,2019,01-01-19,31-12-19
28132675,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2018,26.1,0.26104,2022-03-02T14:06:59Z,2018,01-01-18,31-12-18
28132676,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2017,23.6,0.23562,2022-03-02T14:06:59Z,2017,01-01-17,31-12-17
28132677,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2016,21,0.21021,2022-03-02T14:06:59Z,2016,01-01-16,31-12-16
28132678,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2015,23,0.2299,2022-03-02T14:06:59Z,2015,01-01-15,31-12-15
28132679,MALARIA_IPTP3_COVERAGE,COUNTRY,KEN,YEAR,2014,10.3,0.103,2022-03-02T14:06:59Z,2014,01-01-14,31-12-14
